Token	Gold annotation	Candidates	Prediction	Gold ann in candidates?	Correct?	sent id	sent date
VIRGINIA	Q64358128	Q907713 Q2207776 Q986681 Q255427 Q2611949 Q7934081 Q1027286 Q5160568 Q1278485 Q7934095 Q6680038 Q7934089 Q7934091 Q1370 Q1784907 Q7934092 Q7934090 Q1564064 Q2943247 Q6505686 Q7934082 Q678015 Q154933 Q1425173 Q1787215 Q579625 Q26996719 Q3820061 Q607350 Q7934083 Q27983961	Q1370	False	False	# hipe2022:document_id = sn83030483-1790-01-02-a-i0004	# hipe2022:date = 1790-01-02	B-loc
NEW - YORK	Q60	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-01-02-a-i0004	# hipe2022:date = 1790-01-02	B-loc
SEPT . 28 , 1780	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83030483-1790-01-02-a-i0004	# hipe2022:date = 1790-01-02	B-time
Uni ¬ ted Stares	Q30	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-01-02-a-i0004	# hipe2022:date = 1790-01-02	B-loc
Journal of the Senate	Q7891333	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-01-02-a-i0004	# hipe2022:date = 1790-01-02	B-prod
WILLIAM GRAYSON	NIL	Q471060	Q471060	False	False	# hipe2022:document_id = sn83030483-1790-01-02-a-i0004	# hipe2022:date = 1790-01-02	B-pers
PRESIDENT SULL IVAN	Q886420	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-pers
Senate	Q1525949	Q1254104 Q586461 Q2570643 Q2118303 Q2119267 Q3510858 Q927191 Q7449985 Q1253647 Q637846 Q264113 Q1142439 Q177147 Q2119458 Q2119404 Q389423 Q59486 Q122635 Q3055339 Q215987 Q659211 Q1127591 Q5080059 Q3510849 Q2398781 Q3510861 Q1316045 Q14759322 Q841180 Q783330 Q1149788 Q16934005 Q21022191 Q66096 Q7449995 Q3510869 Q969494 Q2571392 Q1418426 Q7450034 Q1563075 Q3510838 Q3510889 Q7449994 Q1355042 Q3510854 Q3510836 Q633872 Q3510846 Q98975 Q3510853 Q28135987 Q3510843 Q6978858 Q827490 Q2117771 Q27881014 Q3510871 Q590176 Q1207095 Q1699171 Q2118566 Q7449988 Q64744338 Q2117711 Q3510840 Q1466018 Q2993611 Q855343	Q66096	False	False	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-org
House ^ / ' Represen ¬ tatives	Q1525939	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-org
New - Hampshire	Q759	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-loc
New - Humpfhire	Q759	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-loc
