Token	Gold annotation	Candidates	Prediction	Gold ann in candidates?	Correct?	sent id	sent date
Gavinies	Q490205	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1732	#document_date:1825	B-person
Lord Chamberlain	Q541755	Q1355456 Q16931219	Q16931219	False	False	#document_id:TheHarmonicon__1832-012.txt_996	#document_date:1832	B-person
Mr. Liddle	NIL	NIL NIL	NIL	True	True	#document_id:TheMusicalTimes__1875-388.txt_2262	#document_date:1875	B-person
Mr. C. Hancock	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1875-388.txt_2262	#document_date:1875	B-person
Sir George Elvey	Q5541104	Q5541104	Q5541104	True	True	#document_id:TheMusicalTimes__1875-388.txt_2262	#document_date:1875	B-person
Mr. Viotti	Q313188	Q313188 NIL	Q313188	True	True	#document_id:TheHarmonicon__1824-016.txt_50	#document_date:1824	B-person
King ’s Theatre	Q1155331	NIL	NIL	False	False	#document_id:TheHarmonicon__1824-016.txt_50	#document_date:1824	B-building
Rameau	Q1145	Q1145 Q2102884	Q2102884	True	False	#document_id:TheMusicalWorld__1843-038.txt_147	#document_date:1843	B-person
Les Indes galantes	Q583297	Q583297	Q583297	True	True	#document_id:TheMusicalWorld__1843-038.txt_147	#document_date:1843	B-opera
Benzamin Rogenrs	Q18546476	NIL	NIL	False	False	#document_id:TheHarmonicon__1832-012.txt_4	#document_date:1832	B-person
Peter Rogers	NIL	Q1809437 Q715904 Q7176651 Q3376855	Q715904	False	False	#document_id:TheHarmonicon__1832-012.txt_4	#document_date:1832	B-person
St. George 's Chapel	Q2449634	NIL	NIL	False	False	#document_id:TheHarmonicon__1832-012.txt_4	#document_date:1832	B-worship-place
Windsor	Q464955	Q1973829 Q8024560 Q5356143 Q25197251 Q575938 Q958551 Q464955 Q8024521 Q3449701 Q8024538 Q8024666 Q983973 Q607379 Q513994 Q17038551 Q874276 Q2805776 Q8024527 Q1052673 Q16903564 Q8024561 Q1026964 Q28612705 Q9096140 Q1374209 Q208290 Q589685 Q3098087 Q1787206 Q2017521 Q8024517 Q27964412 Q549348 Q8024534 Q8024758 Q1012003 Q2548376 Q2584025 Q1939361 Q139415 Q182625 Q3240520 Q81589 Q8024529 Q4020379 Q8024546 Q986852 Q2027103	Q874276	True	False	#document_id:TheHarmonicon__1832-012.txt_4	#document_date:1832	B-city
Bach	Q1339	Q18036478 Q4838674 Q1409748 Q584238 Q1430282 Q1072625 Q1861386 Q1339 Q679998	Q679998	True	False	#document_id:TheMusicalTimes__1876-402.txt_2227	#document_date:1876	B-person
Handel	Q7302	Q7302 Q3696641 Q2317222 Q5628941	Q7302	True	True	#document_id:TheMusicalTimes__1876-402.txt_2227	#document_date:1876	B-person
Mendelssohn	Q46096	Q16225590 Q41783627 Q48796795 Q46096	Q41783627	True	False	#document_id:TheMusicalTimes__1876-402.txt_2227	#document_date:1876	B-person
Cherubini	Q20721	Q20721	Q20721	True	True	#document_id:TheMusicalTimes__1876-402.txt_2227	#document_date:1876	B-person
Lefébure - Wély	Q546919	NIL	NIL	False	False	#document_id:TheMusicalTimes__1876-402.txt_2227	#document_date:1876	B-person
M. Beckers	NIL	NIL	NIL	True	True	#document_id:TheHarmonicon__1828-001.txt_966	#document_date:1828	B-person
Dictionnaire des Musiciens	NIL	NIL	NIL	True	True	#document_id:TheHarmonicon__1824-016.txt_112	#document_date:1824	B-book
Birmingham	Q2256	Q5635137 Q4916585 Q4387910 Q4916575 Q2188746 Q593324 Q1922603 Q20708941 Q16243973 Q4916577 Q8719 Q4916755 Q19444 Q17182710 Q7568464 Q368323 Q839203 Q79867 Q4916568 Q5409875 Q2256 Q683063 Q4916587 Q865725	Q2256	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_3660	#document_date:1825	B-city
Miss Orton	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1876-397.txt_2275	#document_date:1876	B-person
